ANTONIO CARLOS PEIXOTO DE MAGALHÃES NETO,GIOVANI DAMICO,JERÔNIMO RODRIGUES SOUZA,JOÃO INÁCIO RIBEIRO ROMA NETO,KLEBER ROSA DE SOUZA,MARCELO MILLET OLIVEIRA,VOTO BRANCO,VOTO NULO
10226.0,17.0,14459.0,2053.0,112.0,2.0,746.0,1652.0
9055.0,12.0,12722.0,1770.0,88.0,1.0,592.0,1334.0
9891.0,17.0,13770.0,2219.0,104.0,3.0,705.0,1689.0
10505.0,16.0,14565.0,2236.0,95.0,3.0,741.0,1594.0
10395.0,24.0,15781.0,2249.0,96.0,1.0,684.0,1696.0
10798.0,18.0,14349.0,2513.0,111.0,4.0,764.0,1633.0
10725.0,15.0,15658.0,2450.0,98.0,1.0,796.0,1736.0
11081.0,12.0,15203.0,2358.0,119.0,4.0,757.0,1719.0
10789.0,17.0,15625.0,2331.0,95.0,,711.0,1797.0
10553.0,18.0,14938.0,2426.0,110.0,,748.0,1754.0
10804.0,15.0,15737.0,2127.0,121.0,3.0,762.0,1821.0
10745.0,26.0,14901.0,2212.0,133.0,2.0,743.0,1714.0
10360.0,23.0,14409.0,2137.0,105.0,2.0,675.0,1672.0
10385.0,21.0,14221.0,2178.0,102.0,4.0,679.0,1620.0
10451.0,19.0,14548.0,2241.0,67.0,3.0,726.0,1573.0
9833.0,16.0,13026.0,2075.0,101.0,3.0,668.0,1507.0
10192.0,16.0,13979.0,2061.0,100.0,1.0,711.0,1613.0
9686.0,15.0,14217.0,1959.0,115.0,4.0,648.0,1568.0
10271.0,14.0,13880.0,1924.0,99.0,3.0,709.0,1577.0
9883.0,18.0,13509.0,2094.0,117.0,5.0,636.0,1516.0
10456.0,22.0,14341.0,2168.0,129.0,1.0,707.0,1596.0
9630.0,19.0,13086.0,2157.0,98.0,,628.0,1570.0
10073.0,11.0,13860.0,1986.0,103.0,2.0,691.0,1535.0
10824.0,23.0,14951.0,2223.0,118.0,,757.0,1718.0
10579.0,20.0,13920.0,2195.0,103.0,3.0,750.0,1586.0
10661.0,17.0,14222.0,2185.0,121.0,2.0,768.0,1631.0
9765.0,17.0,13947.0,2134.0,82.0,2.0,688.0,1509.0
9898.0,22.0,14337.0,2223.0,94.0,2.0,753.0,1652.0
9405.0,13.0,13357.0,1980.0,89.0,1.0,672.0,1372.0
9417.0,14.0,13320.0,2013.0,90.0,,679.0,1538.0
8949.0,11.0,13507.0,1913.0,87.0,,644.0,1440.0
9559.0,13.0,12922.0,1978.0,79.0,,691.0,1485.0
9289.0,13.0,12946.0,2281.0,84.0,2.0,673.0,1460.0
10282.0,14.0,14801.0,2185.0,83.0,4.0,725.0,1638.0
10333.0,6.0,14539.0,2065.0,75.0,4.0,759.0,1639.0
9736.0,13.0,13888.0,2184.0,75.0,3.0,681.0,1582.0
10130.0,18.0,14080.0,2226.0,99.0,5.0,741.0,1581.0
9475.0,4.0,13745.0,2190.0,71.0,,711.0,1482.0
9998.0,15.0,12985.0,2414.0,105.0,1.0,712.0,1619.0
9816.0,15.0,13486.0,2053.0,102.0,2.0,672.0,1576.0
9814.0,10.0,12893.0,2177.0,101.0,2.0,721.0,1460.0
10138.0,11.0,13903.0,2021.0,93.0,2.0,757.0,1660.0
9617.0,17.0,14223.0,2139.0,58.0,4.0,738.0,1618.0
10192.0,12.0,14757.0,2083.0,74.0,1.0,689.0,1554.0
9259.0,17.0,13066.0,1877.0,68.0,2.0,646.0,1482.0
9497.0,15.0,13718.0,2077.0,91.0,1.0,709.0,1631.0
9880.0,6.0,13810.0,2138.0,85.0,,653.0,1602.0
9055.0,15.0,13797.0,1788.0,97.0,1.0,684.0,1531.0
9039.0,15.0,12229.0,1997.0,87.0,,664.0,1413.0
9975.0,13.0,14293.0,2176.0,112.0,,748.0,1606.0
10036.0,15.0,13976.0,2108.0,96.0,2.0,774.0,1620.0
9432.0,18.0,13725.0,2098.0,117.0,3.0,714.0,1637.0
10198.0,13.0,14064.0,2196.0,86.0,2.0,791.0,1638.0
9859.0,17.0,13952.0,2361.0,113.0,4.0,689.0,1594.0
8937.0,20.0,13125.0,1959.0,78.0,,699.0,1581.0
9289.0,14.0,13470.0,2122.0,97.0,2.0,721.0,1534.0
8965.0,13.0,12436.0,1797.0,76.0,2.0,670.0,1366.0
8731.0,10.0,13347.0,1815.0,93.0,1.0,653.0,1477.0
8467.0,15.0,12675.0,1888.0,65.0,1.0,644.0,1450.0
8695.0,14.0,12409.0,1730.0,67.0,1.0,651.0,1384.0
8825.0,7.0,12508.0,1815.0,74.0,1.0,654.0,1431.0
9361.0,15.0,14075.0,2006.0,90.0,,717.0,1494.0
8083.0,7.0,11494.0,1709.0,61.0,3.0,580.0,1302.0
8303.0,17.0,11817.0,1655.0,73.0,,594.0,1266.0
8380.0,17.0,11435.0,1742.0,98.0,2.0,658.0,1377.0
9170.0,12.0,12117.0,2043.0,74.0,,658.0,1344.0
8335.0,10.0,11830.0,1851.0,68.0,,592.0,1309.0
9131.0,14.0,11534.0,1972.0,77.0,3.0,607.0,1302.0
8535.0,8.0,12050.0,2005.0,62.0,1.0,677.0,1319.0
8307.0,8.0,11647.0,1730.0,83.0,2.0,536.0,1191.0
7678.0,12.0,10876.0,1924.0,80.0,3.0,539.0,1115.0
7147.0,6.0,10734.0,1577.0,63.0,,554.0,1109.0
7357.0,13.0,9803.0,1803.0,88.0,1.0,499.0,1138.0
6746.0,10.0,9357.0,1674.0,72.0,1.0,521.0,1105.0
7653.0,10.0,10723.0,1661.0,52.0,3.0,558.0,1162.0
7035.0,10.0,9721.0,1647.0,82.0,,505.0,1065.0
8083.0,4.0,10796.0,1781.0,57.0,,592.0,1230.0
7642.0,12.0,9997.0,2079.0,59.0,3.0,614.0,1083.0
7650.0,12.0,9818.0,1729.0,81.0,3.0,519.0,1194.0
8200.0,12.0,10951.0,1996.0,81.0,2.0,602.0,1229.0
7669.0,15.0,10643.0,1990.0,55.0,,531.0,1154.0
8337.0,16.0,10947.0,1959.0,96.0,2.0,597.0,1269.0
7712.0,16.0,10960.0,1795.0,65.0,1.0,583.0,1211.0
