ANTONIO CARLOS PEIXOTO DE MAGALHÃES NETO,GIOVANI DAMICO,JERÔNIMO RODRIGUES SOUZA,JOÃO INÁCIO RIBEIRO ROMA NETO,KLEBER ROSA DE SOUZA,MARCELO MILLET OLIVEIRA,VOTO BRANCO,VOTO NULO
184.0,147.0,184.0,184.0,159.0,127.0,182.0,184.0
18025.603260869564,40.48299319727891,21846.902173913044,4012.5597826086955,303.38993710691824,6.503937007874016,1300.8241758241759,2716.5271739130435
27464.23542651513,47.13175263076794,36975.394939181,6173.423796683303,311.67743208363567,6.777500142860686,1886.9524764744529,4188.790012610962
10.0,1.0,43.0,2.0,1.0,1.0,1.0,5.0
1254.0,10.5,936.5,221.5,91.5,2.0,76.75,114.0
9173.0,27.0,7792.0,1615.0,245.0,5.0,690.0,1213.0
21931.5,50.0,22502.25,5074.75,407.0,8.0,1721.0,3163.75
170936.0,263.0,219257.0,36644.0,1939.0,45.0,11178.0,24790.0
