ANTONIO CARLOS PEIXOTO DE MAGALHÃES NETO,GIOVANI DAMICO,JERÔNIMO RODRIGUES SOUZA,JOÃO INÁCIO RIBEIRO ROMA NETO,KLEBER ROSA DE SOUZA,MARCELO MILLET OLIVEIRA,VOTO BRANCO,VOTO NULO
10019.0,38.0,8926.0,1692.0,396.0,5.0,618.0,1330.0
10352.0,16.0,9647.0,2184.0,230.0,1.0,790.0,1444.0
14293.0,23.0,10520.0,2511.0,390.0,7.0,938.0,1930.0
9061.0,16.0,9115.0,1664.0,175.0,5.0,717.0,1499.0
11957.0,20.0,9756.0,1926.0,402.0,6.0,770.0,1584.0
14671.0,47.0,12729.0,2553.0,452.0,5.0,921.0,1971.0
10114.0,14.0,7926.0,1514.0,245.0,2.0,690.0,1348.0
9283.0,23.0,7658.0,1875.0,251.0,1.0,635.0,1184.0
12621.0,31.0,9619.0,2409.0,340.0,2.0,814.0,1624.0
9116.0,16.0,8047.0,1534.0,175.0,3.0,723.0,1356.0
8524.0,5.0,6242.0,1176.0,204.0,2.0,570.0,1174.0
8096.0,22.0,6880.0,1324.0,198.0,2.0,511.0,1004.0
6619.0,18.0,4915.0,1124.0,205.0,3.0,440.0,902.0
9415.0,20.0,8601.0,2103.0,243.0,5.0,750.0,1342.0
10520.0,25.0,9475.0,2330.0,324.0,2.0,769.0,1503.0
9239.0,27.0,7430.0,2307.0,266.0,1.0,690.0,1182.0
6635.0,9.0,6653.0,1314.0,110.0,1.0,560.0,1025.0
5994.0,15.0,5058.0,1087.0,179.0,,423.0,802.0
7350.0,14.0,6382.0,1342.0,145.0,3.0,561.0,999.0
4289.0,7.0,4320.0,778.0,100.0,4.0,368.0,683.0
6031.0,12.0,4749.0,841.0,137.0,1.0,403.0,885.0
2464.0,3.0,2033.0,306.0,49.0,,146.0,331.0
9230.0,16.0,7212.0,1981.0,157.0,2.0,745.0,1231.0
5316.0,13.0,4633.0,829.0,150.0,1.0,321.0,599.0
3588.0,5.0,3807.0,511.0,51.0,2.0,245.0,609.0
