ACM_NETO,GIOVANI_DAMICO,JERONIMO_SOUZA,JOAO_ROMA,KLEBER_SOUZA,MARCELO_OLIVERA,BRANCOS,NULOS
9588.0,8.0,14947.0,1124.0,41.0,3.0,562.0,2127.0
14907.0,12.0,24974.0,1413.0,73.0,3.0,844.0,2398.0
5300.0,16.0,19028.0,1070.0,82.0,0.0,521.0,1540.0
22310.0,28.0,27313.0,5035.0,115.0,1.0,1638.0,3294.0
5582.0,8.0,6375.0,1929.0,15.0,1.0,406.0,1178.0
3116.0,10.0,10340.0,1159.0,10.0,0.0,267.0,951.0
11064.0,12.0,19943.0,1225.0,40.0,2.0,627.0,1918.0
7670.0,9.0,16144.0,1200.0,26.0,0.0,562.0,1470.0
18683.0,20.0,36902.0,3539.0,154.0,4.0,1414.0,2941.0
7209.0,7.0,13426.0,992.0,8.0,0.0,400.0,858.0
7426.0,10.0,13530.0,1441.0,13.0,1.0,699.0,1226.0
7533.0,5.0,14325.0,1734.0,11.0,0.0,340.0,909.0
4813.0,9.0,14856.0,1580.0,10.0,1.0,550.0,1428.0
10591.0,6.0,8801.0,2498.0,38.0,1.0,582.0,961.0
15896.0,19.0,27881.0,3725.0,47.0,2.0,1584.0,2739.0
14517.0,24.0,31348.0,2837.0,69.0,4.0,1103.0,2848.0
7260.0,18.0,10924.0,1486.0,37.0,3.0,385.0,1353.0
8315.0,5.0,19054.0,1502.0,41.0,1.0,610.0,1364.0
12436.0,13.0,10835.0,998.0,34.0,4.0,525.0,1790.0
6772.0,10.0,13336.0,1638.0,17.0,2.0,542.0,1245.0
9114.0,6.0,10241.0,1658.0,41.0,0.0,588.0,1359.0
13138.0,11.0,19540.0,2205.0,177.0,3.0,1337.0,2271.0
11790.0,21.0,21480.0,2094.0,52.0,2.0,821.0,2268.0
16089.0,12.0,28839.0,2712.0,77.0,3.0,1242.0,2569.0
12515.0,11.0,15526.0,1237.0,42.0,2.0,818.0,1842.0
10253.0,19.0,22182.0,7134.0,92.0,6.0,1319.0,2403.0
5027.0,10.0,17726.0,752.0,23.0,0.0,933.0,1708.0
12596.0,14.0,21431.0,1779.0,90.0,1.0,780.0,2060.0
9962.0,12.0,14221.0,1229.0,14.0,1.0,478.0,1301.0
13579.0,14.0,10602.0,3376.0,65.0,2.0,604.0,1779.0
5568.0,14.0,18637.0,1745.0,16.0,0.0,790.0,1723.0
23080.0,20.0,27275.0,2305.0,233.0,0.0,1232.0,2547.0
9855.0,14.0,15257.0,1178.0,60.0,1.0,550.0,1879.0
10129.0,8.0,10121.0,948.0,46.0,0.0,557.0,1187.0
10249.0,33.0,15272.0,8946.0,229.0,6.0,1437.0,2093.0
16431.0,49.0,21163.0,14004.0,387.0,4.0,2707.0,3694.0
10458.0,23.0,27147.0,2022.0,64.0,1.0,988.0,2699.0
6735.0,18.0,10717.0,1177.0,131.0,1.0,655.0,1427.0
10195.0,13.0,18233.0,1625.0,21.0,1.0,695.0,1424.0
10199.0,17.0,14469.0,2492.0,26.0,2.0,750.0,1554.0
20415.0,13.0,25706.0,2064.0,218.0,4.0,1794.0,2826.0
14063.0,16.0,17844.0,1019.0,93.0,1.0,990.0,2078.0
13491.0,23.0,14127.0,1779.0,151.0,6.0,1618.0,2203.0
