ANTONIO CARLOS PEIXOTO DE MAGALHÃES NETO,GIOVANI DAMICO,JERÔNIMO RODRIGUES SOUZA,JOÃO INÁCIO RIBEIRO ROMA NETO,KLEBER ROSA DE SOUZA,MARCELO MILLET OLIVEIRA,VOTO BRANCO,VOTO NULO
938.0,770.0,938.0,938.0,930.0,443.0,935.0,938.0
3535.9392324093815,7.728571428571429,4285.533049040511,787.1119402985074,51.86989247311828,1.8645598194130926,253.20855614973263,532.8795309168444
3706.3851115369403,6.32848858634343,5161.525486354966,849.4392759386776,38.744133998019024,1.115373432549824,262.19518926072567,587.5316757390968
18.0,1.0,26.0,5.0,1.0,1.0,1.0,2.0
350.25,2.0,317.0,63.0,13.0,1.0,22.0,44.0
2266.5,6.0,1839.5,427.0,57.0,1.0,157.0,312.0
5566.25,12.0,6852.0,1345.5,76.0,2.0,417.5,830.75
12833.0,29.0,16447.0,2963.0,171.0,6.0,889.0,2022.0
